∑T[mm],ΔT[mm],∑Pr[mm/ΔT],ΔPr[mm/ΔT],Hpond[mm],Recharge[mm/ΔT],∑WaterBalance_η[mm]
956959.2737581244,3274.552172331501,221.05759223812908,0.756421551808586,0.0,0.756421551808586,-0.0019195998917938644
960225.4504091633,3266.176651038865,221.81207904451907,0.7544868063899912,0.0,0.7544868063899912,-0.0019145594095783362
963480.4641714351,3255.013762271897,222.5639872235956,0.751908179076537,0.0,0.751908179076537,-0.0019095889892962199
966726.3873645357,3245.923193100634,223.31379548120185,0.7498082576062473,0.0,0.7498082576062473,-0.0019046840768082109
969960.7089619763,3234.3215974406135,224.0609237702189,0.7471282890170414,0.0,0.7471282890170414,-0.0018998472732675126
973185.59398924,3224.8850272637087,224.80587221151683,0.7449484412979359,0.0,0.7449484412979359,-0.001895074020471137
976400.8336321219,3215.239642881856,225.54859256902256,0.742720357505732,0.0,0.742720357505732,-0.001890363440236817
979603.4330619188,3202.599429796937,226.28839303729737,0.739800468274808,0.0,0.739800468274808,-0.0018857188414665546
982795.5754302889,3192.142368370105,227.02577792439087,0.7373848870934978,0.0,0.7373848870934978,-0.0018811357845049865
985974.1735214709,3178.5980911819274,227.76003408345392,0.734256159063051,0.0,0.734256159063051,-0.001876617643199115
989141.6460553276,3167.4725338567887,228.4917202387831,0.7316861553291858,0.0,0.7316861553291858,-0.001872159684440385
992294.6220742796,3152.976018951975,229.220057699161,0.7283374603779009,0.0,0.7283374603779009,-0.0018677657024754836
995432.4983483108,3137.876274031255,229.94490711846223,0.724849419301222,0.0,0.724849419301222,-0.001863435355263673
998557.8923610065,3125.394012695606,230.66687313539492,0.7219660169326971,0.0,0.7219660169326971,-0.0018591637597732528
1.0016669519694191e6,3109.059608412651,231.38506590493827,0.7181927695433501,0.0,0.7181927695433501,-0.0018549552893874078
1.0047588361609398e6,3091.884191520586,232.09929115317954,0.714225248241263,0.0,0.714225248241263,-0.0018508099792728643
1.0078324713721037e6,3073.6352111638967,232.8093008869584,0.7100097337788611,0.0,0.7100097337788611,-0.001846728155951279
1.0108869316418858e6,3054.460269782062,233.5148812092781,0.7055803223196904,0.0,0.7055803223196904,-0.0018427099521816297
